time,signal,probability,entry_price,sl,tp,ticket,status
2025-12-24 01:26:37.883942,SELL,0.59,4475.06,4476.06,4473.56,151331759657,OPEN
2025-12-24 01:28:38.426063,SELL,0.59,4477.16,4478.16,4475.66,151331767209,OPEN
2025-12-24 01:29:38.813520,SELL,0.59,4477.74,4478.74,4476.24,151331772369,OPEN
2025-12-24 01:31:39.383764,SELL,0.59,4476.13,4477.13,4474.63,151331780218,OPEN
2025-12-24 01:32:39.764898,SELL,0.59,4475.44,4476.44,4473.94,151331784123,OPEN
2025-12-24 01:33:40.171655,SELL,0.59,4474.86,4475.86,4473.36,151331787891,OPEN
2025-12-24 01:35:40.694381,SELL,0.59,4474.27,4475.27,4472.77,151331795580,OPEN
2025-12-24 01:36:41.075515,SELL,0.59,4474.43,4475.43,4472.93,151331799779,OPEN
2025-12-24 01:37:41.450966,SELL,0.59,4474.89,4475.89,4473.39,151331802302,OPEN
2025-12-24 01:38:41.806727,SELL,0.59,4476.53,4477.53,4475.03,151331807111,OPEN
